#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00016     2.00016           0
           2      2.0005     2.00033 0.000121495
           3     2.00089     2.00052 0.000173284
           4     2.00133     2.00072  0.00021893
           5     2.00182     2.00094 0.000262947
           6     2.00235     2.00118 0.000306739
           7     2.00293     2.00143 0.000350904
           8     2.00356     2.00169 0.000395744
           9     2.00424     2.00198 0.000441421
          10     2.00497     2.00228 0.000488028
          11     2.00574     2.00259 0.000535623
          12     2.00656     2.00292 0.000584235
          13     2.00743     2.00327 0.000633882
          14     2.00835     2.00363 0.000684572
          15     2.00931     2.00401 0.000736307
          16     2.01033      2.0044 0.000789084
          17     2.01139     2.00482 0.000842899
          18      2.0125     2.00524 0.000897746
          19     2.01366     2.00569 0.000953619
          20     2.01487     2.00615  0.00101051
          21     2.01613     2.00662   0.0010684
          22     2.01744     2.00711  0.00112729
          23     2.01879     2.00762  0.00118716
          24      2.0202     2.00814  0.00124801
          25     2.02165     2.00868  0.00130982
          26     2.02315     2.00924  0.00137258
          27     2.02471     2.00981  0.00143628
          28     2.02631      2.0104  0.00150092
          29     2.02796     2.01101  0.00156647
          30     2.02966     2.01163  0.00163293
          31      2.0314     2.01227  0.00170029
          32      2.0332     2.01292  0.00176854
          33     2.03505     2.01359  0.00183766
          34     2.03694     2.01428  0.00190766
          35     2.03889     2.01498  0.00197851
          36     2.04088      2.0157  0.00205021
          37     2.04293     2.01644  0.00212274
          38     2.04502     2.01719   0.0021961
          39     2.04716     2.01796  0.00227028
          40     2.04935     2.01874  0.00234527
          41     2.05159     2.01954  0.00242105
          42     2.05388     2.02036  0.00249761
          43     2.05622      2.0212  0.00257495
          44      2.0586     2.02205  0.00265306
          45     2.06103     2.02291  0.00273191
          46     2.06352     2.02379  0.00281151
          47     2.06604     2.02469  0.00289183
          48     2.06862     2.02561  0.00297287
          49     2.07125     2.02654  0.00305462
          50     2.07392     2.02749  0.00313706
          51     2.07664     2.02845  0.00322018
          52      2.0794     2.02943  0.00330396
          53     2.08221     2.03043   0.0033884
          54     2.08507     2.03144  0.00347347
          55     2.08798     2.03247  0.00355917
          56     2.09092     2.03351  0.00364548
          57     2.09392     2.03457  0.00373238
          58     2.09695     2.03565  0.00381986
          59     2.10003     2.03674   0.0039079
          60     2.10316     2.03784  0.00399649
          61     2.10632     2.03897   0.0040856
          62     2.10953     2.04011  0.00417521
          63     2.11278     2.04126  0.00426531
          64     2.11607     2.04243  0.00435588
          65     2.11939     2.04361   0.0044469
          66     2.12276     2.04481  0.00453834
          67     2.12616     2.04603  0.00463018
          68      2.1296     2.04725  0.00472239
          69     2.13308      2.0485  0.00481496
          70     2.13658     2.04976  0.00490785
          71     2.14012     2.05103  0.00500104
          72      2.1437     2.05232  0.00509451
          73      2.1473     2.05362  0.00518821
          74     2.15093     2.05493  0.00528212
          75     2.15458     2.05626  0.00537621
          76     2.15827      2.0576  0.00547044
          77     2.16197     2.05896  0.00556478
          78      2.1657     2.06033   0.0056592
          79     2.16944     2.06171  0.00575364
          80      2.1732      2.0631  0.00584808
          81     2.17698     2.06451  0.00594248
          82     2.18077     2.06593  0.00603677
          83     2.18457     2.06736  0.00613094
          84     2.18837      2.0688  0.00622491
          85     2.19218     2.07025  0.00631865
          86     2.19599     2.07171   0.0064121
          87     2.19979     2.07318  0.00650521
          88     2.20359     2.07466  0.00659793
          89     2.20738     2.07615  0.00669018
          90     2.21115     2.07765  0.00678191
          91     2.21491     2.07916  0.00687306
          92     2.21864     2.08068  0.00696356
          93     2.22235      2.0822  0.00705333
          94     2.22602     2.08373  0.00714231
          95     2.22966     2.08527  0.00723042
          96     2.23325     2.08681  0.00731758
          97     2.23679     2.08836   0.0074037
          98     2.24028     2.08991  0.00748869
          99     2.24371     2.09146  0.00757248
         100     2.24707     2.09302  0.00765496
         101     2.25035     2.09457  0.00773604
         102     2.25355     2.09613  0.00781562
         103     2.25665     2.09769  0.00789359
         104     2.25966     2.09925  0.00796984
         105     2.26255      2.1008  0.00804426
         106     2.26533     2.10236  0.00811673
         107     2.26798      2.1039  0.00818714
         108     2.27049     2.10545  0.00825535
         109     2.27285     2.10698  0.00832125
         110     2.27505     2.10851  0.00838469
         111     2.27707     2.11003  0.00844555
         112     2.27891     2.11154  0.00850368
         113     2.28054     2.11303  0.00855894
         114     2.28196     2.11451  0.00861118
         115     2.28316     2.11598  0.00866027
         116      2.2841     2.11743  0.00870605
         117     2.28479     2.11886  0.00874836
         118      2.2852     2.12027  0.00878707
         119     2.28532     2.12166  0.00882201
         120     2.28512     2.12302  0.00885304
         121      2.2846     2.12435  0.00888002
         122     2.28372     2.12566  0.00890279
         123     2.28247     2.12694  0.00892123
         124     2.28083     2.12818   0.0089352
         125     2.27878     2.12938  0.00894457
         126     2.27629     2.13055  0.00894926
         127     2.27335     2.13167  0.00894915
         128     2.26993     2.13275  0.00894418
         129       2.266     2.13378  0.00893429
         130     2.26155     2.13477  0.00891946
         131     2.25655      2.1357  0.00889969
         132     2.25098     2.13657  0.00887501
         133     2.24481     2.13738  0.00884552
         134     2.23802     2.13814  0.00881133
         135      2.2306     2.13882  0.00877264
         136     2.22252     2.13944   0.0087297
         137     2.21375     2.13998  0.00868281
         138     2.20429     2.14044  0.00863239
