#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40947    -1.40947           0
           2    -1.41006    -1.40976 0.000207374
           3    -1.41072    -1.41008 0.000293444
           4    -1.41144    -1.41042  0.00036815
           5    -1.41225    -1.41079 0.000439404
           6    -1.41312    -1.41118 0.000509704
           7    -1.41406    -1.41159 0.000580136
           8    -1.41508    -1.41202 0.000651256
           9    -1.41616    -1.41248 0.000723377
          10    -1.41732    -1.41297 0.000796689
          11    -1.41856    -1.41348 0.000871307
          12    -1.41986    -1.41401 0.000947304
          13    -1.42124    -1.41456  0.00102473
          14    -1.42269    -1.41514   0.0011036
          15    -1.42421    -1.41575  0.00118394
          16     -1.4258    -1.41638  0.00126576
          17    -1.42753    -1.41703  0.00135078
          18    -1.42927    -1.41771  0.00143677
          19    -1.43109    -1.41842  0.00152387
          20    -1.43304    -1.41915  0.00161355
          21    -1.43501     -1.4199  0.00170438
          22    -1.43704    -1.42068  0.00179619
          23    -1.43915    -1.42149  0.00188908
          24    -1.44133    -1.42231  0.00198312
          25    -1.44359    -1.42316  0.00207837
          26    -1.44593    -1.42404  0.00217505
          27    -1.44833    -1.42494  0.00227296
          28    -1.45081    -1.42586  0.00237209
          29    -1.45335    -1.42681  0.00247248
          30    -1.45598    -1.42778  0.00257411
          31    -1.45867    -1.42878  0.00267701
          32    -1.46144     -1.4298  0.00278116
          33    -1.46429    -1.43084  0.00288657
          34    -1.46721    -1.43191  0.00299322
          35     -1.4702    -1.43301  0.00310112
          36    -1.47326    -1.43413  0.00321024
          37     -1.4764    -1.43527  0.00332058
          38    -1.47961    -1.43644  0.00343212
          39     -1.4829    -1.43763  0.00354487
          40    -1.48626    -1.43884  0.00365879
          41    -1.48969    -1.44008  0.00377388
          42    -1.49319    -1.44135  0.00389012
          43    -1.49677    -1.44264   0.0040075
          44    -1.50042    -1.44395  0.00412601
          45    -1.50414    -1.44529  0.00424562
          46    -1.50794    -1.44665  0.00436632
          47     -1.5118    -1.44804  0.00448809
          48    -1.51574    -1.44945  0.00461091
          49    -1.51975    -1.45088  0.00473477
          50    -1.52383    -1.45234  0.00485965
          51    -1.52798    -1.45382  0.00498552
          52    -1.53219    -1.45533  0.00511238
          53    -1.53648    -1.45686  0.00524018
          54    -1.54083    -1.45842  0.00536892
          55    -1.54526       -1.46  0.00549857
          56    -1.54975     -1.4616  0.00562911
          57    -1.55428    -1.46322  0.00576039
          58    -1.55889    -1.46487  0.00589247
          59    -1.56357    -1.46655  0.00602538
          60    -1.56832    -1.46824  0.00615909
          61    -1.57313    -1.46996  0.00629357
          62      -1.578     -1.4717  0.00642879
          63    -1.58294    -1.47347  0.00656472
          64    -1.58793    -1.47526  0.00670132
          65    -1.59298    -1.47707  0.00683856
          66    -1.59808     -1.4789  0.00697641
          67    -1.60324    -1.48076  0.00711482
          68    -1.60845    -1.48264  0.00725376
          69    -1.61371    -1.48454   0.0073932
          70    -1.61902    -1.48646  0.00753308
          71    -1.62438     -1.4884  0.00767336
          72    -1.62978    -1.49036  0.00781401
          73    -1.63523    -1.49235  0.00795497
          74    -1.64072    -1.49435  0.00809619
          75    -1.64624    -1.49638  0.00823763
          76     -1.6518    -1.49842  0.00837922
          77    -1.65738    -1.50049  0.00852092
          78      -1.663    -1.50257  0.00866266
          79    -1.66865    -1.50467  0.00880439
          80    -1.67431    -1.50679  0.00894604
          81       -1.68    -1.50893  0.00908755
          82     -1.6857    -1.51109  0.00922886
          83    -1.69142    -1.51326  0.00936992
          84    -1.69713    -1.51545  0.00951062
          85    -1.70282    -1.51765  0.00965082
          86    -1.70852    -1.51987  0.00979048
